Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	319	16077354	adcA	BSU02850	-	COG0803P	Zn(II)-binding lipoprotein	308332	309291	OF85
+	231	16077355	adcC	BSU02860	-	COG1121P	Zn(II) transporter ATP-binding protein	309347	310042	OF86
+	280	16077356	adcB	BSU02870	-	COG1108P	high affinity Zn(II) ABC transporter permease	310000	310842	OF86
-	331	255767077	yceB	BSU02880	-	COG2141C	monooxygenase	310880	311875	OR1
+	199	16077358	yceC	BSU02890	-	COG2310T	stress adaptation protein	312159	312758	OF86
+	193	16077359	yceD	BSU02900	-	COG2310T	stress adaptation protein	312780	313361	OF86
+	192	16077360	yceE	BSU02910	-	COG2310T	stress adaptation protein	313396	313974	OF86
+	257	16077361	yceF	BSU02920	-	COG0861P	stress adaptation transporter	314025	314798	OF86
+	537	16077362	yceG	BSU02930	-	-	hypothetical protein	314883	316496	OF87
+	363	16077363	yceH	BSU02940	-	COG3853P	hypothetical protein	316512	317603	OF87
+	400	16077364	yceI	BSU02950	-	COG2814G	transporter	317725	318927	OF87
-	390	16077365	yceJ	BSU02960	-	COG2814G	efflux transporter	319180	320352	OR1
-	100	16077366	yceK	BSU02970	-	COG0640K	ArsR family transcriptional regulator	320421	320723	OR1
+	418	255767078	opuAA	BSU02980	-	COG4175E	glycine/betaine ABC transporter ATP-binding protein	321013	322269	OF88
+	282	16077368	opuAB	BSU02990	-	COG4176E	glycine betaine ABC transporter permease	322271	323119	OF88
+	293	16077369	opuAC	BSU03000	-	COG2113E	glycine betaine ABC transporter substrate-binding protein	323119	324000	OF88
-	383	255767079	amhX	BSU03010	-	COG1473R	amidohydrolase	324038	325189	OR1
+	477	255767080	ycgA	BSU03020	-	COG1288S	hypothetical protein	325339	326772	OF88
+	193	255767081	ycgB	BSU03030	-	-	hypothetical protein	326888	327469	OF89
+	659	255767082	amyE	BSU03040	-	COG0366G	alpha-amylase	327618	329597	OF90
+	321	255767083	ldh	BSU03050	-	COG0039C	L-lactate dehydrogenase	329774	330739	OF91
+	541	255767084	lctP	BSU03060	-	COG1620C	L-lactate permease	330771	332396	OF91
-	512	255767085	mdr	BSU03070	-	COG2814G	multidrug-efflux transporter	332441	333979	OR1
+	154	255767086	ycgE	BSU03080	-	COG1846K	transcriptional regulator	334092	334556	OF91
+	209	16077378	ycgF	BSU03090	-	COG1280E	aminoacid export permease	334630	335259	OF92
+	253	255767087	ycgG	BSU03100	-	COG3403S	hypothetical protein	335329	336090	OF93
-	446	255767088	ycgH	BSU03110	-	COG1113E	amino acid transporter	336092	337432	OR1
+	198	255767089	ycgI	BSU03120	-	COG3665S	methyltransferase	337562	338158	OF94
+	272	16077382	nadE	BSU03130	-	COG0171H	NAD synthetase	338288	339106	OF95
-	197	255767090	tmrB	BSU03140	-	-	ATP-binding tunicamycin resistance protein	339156	339749	OR1
+	186	255767091	aroK	BSU03150	-	COG0703E	shikimate kinase	340025	340585	OF96
-	253	255767092	ycgJ	BSU03160	-	COG2226H	methyltransferase	340613	341374	OR1
+	324	255767093	ycgK	BSU03170	-	COG0583K	LysR family transcriptional regulator	341492	342466	OF97
+	318	16077387	cah	BSU03180	-	COG3458Q	S-deacylase	342538	343494	OF98
+	260	16077388	ycgL	BSU03190	-	COG3541R	hypothetical protein	343578	344360	OF99
+	303	16077389	ycgM	BSU03200	-	COG0506E	proline oxidase	344551	345462	OF100
+	515	255767094	ycgN	BSU03210	-	COG1012C	1-pyrroline-5-carboxylate dehydrogenase	345479	347026	OF100
+	473	255767095	ycgO	BSU03220	-	COG0591ER	proline/ornithine permease	347150	348571	OF100
+	411	255767096	ycgP	BSU03230	-	COG2508TQ	transcriptional regulator	348724	349959	OF101
-	285	16077393	ycgQ	BSU03240	-	COG3689S	hypothetical protein	349996	350853	OR1
-	294	16077394	ycgR	BSU03250	-	COG0701R	permease	350858	351742	OR1
-	284	16077395	ycgS	BSU03260	-	COG0596R	aromatic hydrocarbon hydrolase	351842	352696	OR1
+	336	16077396	ycgT	BSU03270	-	COG0492O	thioredoxin reductase	352858	353868	OF102
-	483	16077397	nasF	BSU03280	-	COG0007H	uroporphyrin-III C-methyltransferase	353900	355351	OR1
-	106	16077398	nasE	BSU03290	-	COG2146PR	assimilatory nitrite reductase subunit	355412	355732	OR1
-	805	16077399	nasD	BSU03300	-	COG1251C	assimilatory nitrite reductase subunit	355764	358181	OR1
-	710	255767097	nasC	BSU03310	-	COG3383R	assimilatory nitrate reductase catalytic subunit	358303	360435	OR1
-	771	255767098	nasB	BSU03320	-	COG1251C	assimilatory nitrate reductase electron transfer subunit	360442	362757	OR1
+	401	255767099	nasA	BSU03330	-	COG2223P	nitrate transporter	362937	364142	OF103
+	304	255767100	yciA	BSU03340	-	COG1469S	GTP cyclohydrolase	364259	365173	OF104
+	194	255767101	yciB	BSU03350	-	COG1376S	metal uptake system lipoprotein	365170	365754	OF104
+	61	255767102	yczL	BSU03359	-	-	hypothetical protein	365850	366035	OF104
+	397	16077405	yciC	BSU03360	-	COG0523R	metallochaperone with NTPase activity	366063	367256	OF104
-	226	16077406	yckA	BSU03370	-	COG0765E	ABC transporter permease	367305	367985	OR1
-	287	16077407	yckB	BSU03380	-	COG0834ET	ABC transporter binding lipoprotein	367995	368858	OR1
+	151	16077408	yckC	BSU03390	-	COG1714S	hypothetical protein	369236	369691	OF104
+	110	16077409	yckD	BSU03400	-	-	hypothetical protein	369773	370105	OF105
+	477	16077410	bglC	BSU03410	-	COG2723G	aryl-phospho-beta-d-glucosidase	370259	371692	OF106
-	132	16077411	nin	BSU03420	-	-	inhibitor of the DNA degrading activity of NucA (competence)	371729	372127	OR1
-	147	50812179	nucA	BSU03430	-	COG0008J	endonuclease	372154	372597	OR1
-	573	255767103	tlpC	BSU03440	-	COG0840NT	methyl-accepting chemotaxis protein	372771	374492	OR1
-	185	16077414	hxlB	BSU03450	-	COG0794M	6-phospho 3-hexuloisomerase	374603	375160	OR1
-	210	16077415	hxlA	BSU03460	-	COG0269G	3-hexulose-6-phosphate synthase	375166	375798	OR1
+	120	255767104	hxlR	BSU03470	-	COG1733K	positive regulator of hxlAB expression	376032	376394	OF107
+	3587	255767105	srfAA	BSU03480	-	COG1020Q	surfactin synthetase	376968	387731	OF108
+	3583	255767106	srfAB	BSU03490	-	COG1020Q	surfactin synthetase	387744	398495	OF108
+	46	16077419	comS	BSU03500	-	-	regulator of genetic competence	390880	391020	OF108
+	1275	255767107	srfAC	BSU03510	-	COG1020Q	surfactin synthetase	398532	402359	OF108
+	242	16077421	srfAD	BSU03520	-	COG3208Q	surfactin synthetase	402388	403116	OF108
+	408	255767108	ycxA	BSU03530	-	COG2271G	permease	403217	404443	OF108
-	185	16077423	ycxB	BSU03540	-	-	hypothetical protein	404458	405015	OR1
-	312	255767109	ycxC	BSU03550	-	COG0697GER	permease	405069	406007	OR1
+	444	16077425	ycxD	BSU03560	-	COG1167KE	PLP-dependent transcriptional regulator	406131	407465	OF109
-	215	255767110	yczE	BSU03580	-	COG2364S	integral inner membrane protein regulating antibiotic production	408240	408887	OR1
-	247	255767111	tcyC	BSU03590	-	COG1126E	cystine ABC transporter ATP-binding protein	409208	409951	OR1
-	234	16077428	tcyB	BSU03600	-	COG0765E	cystine ABC transporter permease	409965	410669	OR1
-	268	255767112	tcyA	BSU03610	-	COG0834ET	cystine ABC transporter substrate-binding lipoprotein	410656	411462	OR1
-	290	16077430	yclA	BSU03620	-	COG0583K	LysR family transcriptional regulator	411578	412450	OR1
+	204	16077431	yclB	BSU03630	-	COG0163H	aromatic acid decarboxylase	412540	413154	OF110
+	473	16077432	ubiD	BSU03640	-	COG0043H	3-polyprenyl-4-hydroxybenzoate decarboxylase	413157	414578	OF110
+	75	255767113	bsdD	BSU03651	-	-	nonoxidative vanillate/4-hydroxybenzoate decarboxylase subunit	414595	414822	OF110
+	154	255767114	yclD	BSU03652	-	-	FMN-binding enzyme subunit	414819	415283	OF110
+	281	255767115	yclE	BSU03660	-	COG0596R	hydrolase	415350	416195	OF110
-	492	255767116	dtpT	BSU03670	-	COG3104E	di-tripeptide-proton ABC symporter	416235	417713	OR1
+	584	16077436	yclG	BSU03680	-	COG3420P	uronase	417993	419747	OF111
-	73	16077437	yczF	BSU03690	-	-	hypothetical protein	419763	419984	OR1
+	544	16077438	gerKA	BSU03700	-	-	spore germination receptor subunit	420110	421744	OF112
+	407	16077439	gerKC	BSU03710	-	-	spore germination receptor subunit	421734	422957	OF112
+	373	16077440	gerKB	BSU03720	-	COG1115E	spore germination receptor subunit	422982	424103	OF112
-	226	16077441	yclH	BSU03730	-	COG1136V	ABC transporter ATPase	424208	424888	OR1
-	486	255767117	yclI	BSU03740	-	COG0577V	transporter	424904	426364	OR1
+	227	16077443	yclJ	BSU03750	-	COG0745TK	two-component response regulator YclK	426577	427260	OF112
+	473	16077444	yclK	BSU03760	-	COG0642T	two-component sensor histidine kinase YclJ	427247	428668	OF112
+	382	16077445	rapC	BSU03770	-	COG1729S	response regulator aspartate phosphatase	428831	429979	OF112
+	40	16077446	phrC	BSU03780	-	-	secreted regulator of the activity of phosphatase RapC	429963	430085	OF112
-	37	255767119	yczN	BSU03789	-	-	hypothetical protein	430356	430469	OR1
-	454	16077447	yclM	BSU03790	-	COG0527E	aspartate kinase	430623	431987	OR1
+	316	16077448	yclN	BSU03800	-	COG4606P	iron-siderophore ABC transporter permease	432372	433322	OF112
+	315	16077449	yclO	BSU03810	-	COG4605P	iron-siderophore ABC transporter permease	433315	434262	OF112
+	252	16077450	yclP	BSU03820	-	COG4604P	iron-siderophore ABC transporter ATP-binding protein	434256	435014	OF112
+	317	16077451	yclQ	BSU03830	-	COG4607P	iron-siderophore ABC transporter binding lipoprotein	435036	435989	OF112
-	472	16077452	ycnB	BSU03840	-	COG2814G	efflux transporter	436036	437454	OR1
-	292	255767120	ycnC	BSU03850	-	COG1309K	TetR family transcriptional regulator	437474	438352	OR1
-	249	16077454	ycnD	BSU03860	-	COG0778C	NADPH-FMN oxidoreductase	438516	439265	OR1
-	95	16077455	ycnE	BSU03870	-	COG1359S	hypothetical protein	439282	439569	OR1
+	104	16077456	yczG	BSU03880	-	COG0640K	ArsR family transcriptional regulator	439709	440023	OF112
-	479	16077457	gabR	BSU03890	-	COG1167KE	GntR family transcriptional regulator	440025	441464	OR1
+	436	16077458	gabT	BSU03900	-	COG0160E	4-aminobutyrate aminotransferase	441571	442881	OF113
+	462	16077459	gabD	BSU03910	-	COG1012C	succinate-semialdehyde dehydrogenase	442950	444338	OF114
+	287	16077460	glcU	BSU03920	-	COG4975G	glucose permease	444461	445324	OF115
+	261	16077461	gdh	BSU03930	-	COG1028IQR	glucose-1-dehydrogenase	445344	446129	OF115
-	204	16077462	ycnI	BSU03940	-	COG4549S	hypothetical protein	446174	446788	OR1
-	541	255767121	ycnJ	BSU03950	-	COG1276P	copper import protein	446801	448426	OR1
-	190	16077464	ycnK	BSU03960	-	COG1349KG	DeoR family transcriptional regulator	448461	449033	OR1
+	117	16077465	ycnL	BSU03970	-	-	reductase or disulfide isomerase	449198	449551	OF115
+	478	255767122	mtlA	BSU03981	-	COG2213G	PTS system mannitol-specific transporter subunit IICB	449724	451160	OF116
+	143	255767123	mtlF	BSU03982	-	COG4668G	PTS system mannitol-specific transporter subunit IIA	451185	451616	OF116
+	373	255767124	mtlD	BSU03990	-	COG0246G	mannitol-1-phosphate 5-dehydrogenase	451618	452739	OF116
+	354	255767125	ycsA	BSU04000	-	COG0473CE	tartrate dehydrogenase	452830	453894	OF116
+	187	16077469	sipU	BSU04010	-	COG0681U	type I signal peptidase	454029	454592	OF117
-	202	255767126	yczH	BSU04020	-	COG0412Q	hydrolase	454652	455260	OR1
+	130	50812182	ycsD	BSU04030	-	COG0764I	(3R)-hydroxymyristoyl-ACP dehydratase	455346	455738	OF118
-	54	255767127	yczO	BSU04039	-	-	hypothetical protein	455771	455935	OR1
+	249	255767128	ycsE	BSU04040	-	COG0561R	phosphatase	456068	456817	OF119
+	257	255767129	ycsF	BSU04050	-	COG1540R	LamB/YcsF family protein	457023	457796	OF120
+	404	255767130	ycsG	BSU04060	-	COG1914P	branched chain amino acids transporter	457811	459025	OF120
+	257	255767131	ycsI	BSU04070	-	COG4336S	hypothetical protein	459049	459822	OF120
+	240	50812186	kipI	BSU04080	-	COG2049E	inhibitor of the autophosphorylation reaction of KinA	459867	460589	OF120
+	335	255767132	kipA	BSU04090	-	COG1984E	hydrolase	460592	461599	OF120
+	250	255767133	kipR	BSU04100	-	COG1414K	IclR family transcriptional regulator	461615	462367	OF120
+	213	16077478	lipC	BSU04110	-	COG2755E	lysophopholipase	462431	463072	OF120
+	81	16077479	yczI	BSU04120	-	-	hypothetical protein	463245	463490	OF121
-	95	16077480	yczJ	BSU04130	-	COG2329R	hypothetical protein	463496	463783	OR1
+	668	16077481	pbpC	BSU04140	-	COG0768M	penicillin-binding lipoprotein 3	463934	465940	OF122
+	300	16077482	ycsN	BSU04150	-	COG4989R	oxidoreductase	466042	466944	OF123
+	694	16077483	mtlR	BSU04160	-	COG3711K	transcriptional regulator	467130	469214	OF124
+	503	255767134	ydaB	BSU04170	-	COG0318IQ	acyl-CoA ligase	469426	470937	OF125
-	181	16077485	ydaC	BSU04180	-	COG2226H	methyltransferase	470957	471502	OR1
+	286	16077486	ydaD	BSU04190	-	COG1028IQR	short chain dehydrogenase	471709	472569	OF126
+	167	16077487	ydaE	BSU04200	-	COG3822R	hypothetical protein	472585	473088	OF126
+	183	16077488	ydaF	BSU04210	-	COG1670J	ribosomal protein N-acetyltransferase	473174	473725	OF126
+	140	16077489	ydaG	BSU04220	-	COG3871R	general stress protein	473803	474225	OF127
+	269	16077490	ydaH	BSU04230	-	-	hypothetical protein	474731	475540	OF128
-	96	16077491	ydzA	BSU04240	-	-	hypothetical protein	475584	475874	OR1
+	144	16077492	lrpC	BSU04250	-	COG1522K	Lrp/AsnC family transcriptional regulator	476059	476493	OF129
+	727	16077493	topB	BSU04260	-	COG0550L	DNA topoisomerase III	476558	478741	OF130
+	362	16077494	ydaJ	BSU04270	-	-	glycosyl hydrolase lipoprotein	478944	480032	OF131
+	283	16077495	ydaK	BSU04280	-	COG2199T	hypothetical protein	480013	480864	OF131
+	569	16077496	ydaL	BSU04290	-	COG5298S	hypothetical protein	480875	482584	OF131
+	420	16077497	ydaM	BSU04300	-	COG1215M	glycosyltransferase	482577	483839	OF131
+	703	16077498	ydaN	BSU04310	-	-	regulator	483845	485956	OF131
+	607	16077499	ydaO	BSU04320	-	COG0531E	metabolite transporter	486432	488255	OF131
+	149	16077500	mutT	BSU04330	-	COG1051F	NTP pyrophosphohydrolase	488314	488763	OF132
+	574	16077501	ydaP	BSU04340	-	COG0028EH	pyruvate oxidase	488830	490554	OF133
-	88	255767135	ydzK	BSU04359	-	-	hypothetical protein	490777	491043	OR1
-	425	16077503	mntH	BSU04360	-	COG1914P	manganese transport protein MntH	491147	492424	OR1
-	85	16077504	ydaS	BSU04370	-	COG2261S	hypothetical protein	492654	492911	OR1
-	150	16077505	ydaT	BSU04380	-	COG4876S	hypothetical protein	492989	493441	OR1
+	272	16077506	ydbA	BSU04390	-	-	hypothetical protein	493559	494377	OF134
+	123	16077507	gsiB	BSU04400	-	COG3729R	general stress protein	494506	494877	OF135
+	113	16077508	ydbB	BSU04410	-	COG0662G	hypothetical protein	495009	495350	OF136
+	119	16077509	ydbC	BSU04420	-	-	hypothetical protein	495344	495703	OF136
-	273	16077510	ydbD	BSU04430	-	COG3546P	manganese-containing catalase	495740	496561	OR1
-	350	16077511	dctB	BSU04440	-	COG1638G	C4-dicarboxylate binding protein	496646	497698	OR1
+	535	16077512	dctS	BSU04450	-	COG3290T	two-component sensor histidine kinase	497768	499375	OF136
+	226	16077513	dctR	BSU04460	-	COG4565KT	two-component response regulator	499365	500045	OF136
+	421	16077514	dctP	BSU04470	-	COG1301C	C4-dicarboxylate transporter DctA	500166	501431	OF136
+	350	16077515	ydbI	BSU04480	-	COG0628R	hypothetical protein	501579	502631	OF137
+	308	16077516	ydbJ	BSU04490	-	COG1131V	ABC transporter ATP-binding protein	502908	503834	OF138
+	246	16077517	ydbK	BSU04500	-	COG1277R	ABC transporter permease	503854	504594	OF138
+	111	16077518	ydbL	BSU04510	-	-	hypothetical protein	504689	505024	OF138
+	381	16077519	ydbM	BSU04520	-	COG1960I	acyl-CoA dehydrogenase	505152	506297	OF139
-	59	16077520	ydbN	BSU04530	-	-	hypothetical protein	506322	506501	OR1
+	290	16077521	ydbO	BSU04540	-	COG0053P	cation efflux system	506866	507738	OF140
-	106	16077522	ydbP	BSU04550	-	COG0526OC	thioredoxin	507753	508073	OR1
+	354	16077523	ddl	BSU04560	-	COG1181M	D-alanyl-alanine synthetase A	508248	509312	OF141
+	457	16077524	murF	BSU04570	-	COG0770M	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl ligase	509384	510757	OF142
+	511	16077525	cshA	BSU04580	-	COG0513LKJ	ATP-dependent RNA helicase; cold shock	511106	512641	OF143
+	159	16077526	ydbS	BSU04590	-	COG3402S	hypothetical protein	512814	513293	OF144
+	493	16077527	ydbT	BSU04600	-	COG3428S	hypothetical protein	513283	514764	OF144
-	199	16077528	ydcA	BSU04610	-	COG0705R	hypothetical protein	515016	515615	OR1
+	121	16077529	acpS	BSU04620	-	COG0736I	4'-phosphopantetheinyl transferase	515710	516075	OF144
+	338	255767136	ydcC	BSU04630	-	COG2834M	lipoprotein	516241	517257	OF145
+	389	16077531	alrA	BSU04640	-	COG0787M	D-alanine racemase	517372	518541	OF146
+	93	16077532	endB	BSU04650	-	COG0864K	antitoxin MazF	518657	518938	OF147
+	116	16077533	ndoA	BSU04660	-	COG2337T	endoribonuclease toxin	518943	519293	OF147
+	274	16077534	rsbRA	BSU04670	-	COG1366T	piezosome protein	519408	520232	OF147
+	121	16077535	rsbS	BSU04680	-	COG1366T	antagonist of RsbT	520237	520602	OF147
+	133	16077536	rsbT	BSU04690	-	COG2172T	switch protein/serine-threonine kinase	520606	521007	OF147
+	335	16077537	rsbU	BSU04700	-	COG2208TK	serine phosphatase	521019	522026	OF147
+	109	16077538	rsbV	BSU04710	-	COG1366T	anti-anti-sigma factor	522088	522417	OF147
+	160	16077539	rsbW	BSU04720	-	COG2172T	serine-protein kinase RsbW	522414	522896	OF147
+	262	255767137	sigB	BSU04730	-	COG1191K	RNA polymerase sigma factor SigB	522862	523650	OF147
+	199	16077541	rsbX	BSU04740	-	COG2208TK	serine phosphatase	523650	524249	OF147
+	97	16077542	ydcF	BSU04750	-	COG3843U	hypothetical protein	524492	524785	OF147
+	146	16077543	ydcG	BSU04760	-	-	hypothetical protein	524782	525222	OF147
+	147	16077544	ydcH	BSU04770	-	COG1846K	transcriptional regulator	525206	525649	OF147
+	719	50812188	ydcI	BSU04780	-	COG2183K	RNA helicase	525743	527902	OF147
+	150	16077546	ydcK	BSU04790	-	COG3091S	hypothetical protein	528129	528581	OF148
-	368	16077547	ydcL	BSU04800	-	COG4974L	phage integrase	529505	530611	OR1
-	169	16077548	immA	BSU04810	-	COG2856E	immunity anti-repressor	530624	531133	OR1
-	127	16077549	immR	BSU04820	-	COG1396K	XRE family transcriptional regulator	531130	531513	OR1
+	64	16077550	sacV	BSU04830	-	-	transcriptional regulator	531787	531981	OF149
+	86	255767138	ydzL	BSU04839	-	-	hypothetical protein	531978	532238	OF149
+	86	16077551	ydcO	BSU04840	-	-	hypothetical protein	532292	532552	OF149
+	126	16077552	ydcP	BSU04850	-	-	hypothetical protein	532922	533302	OF150
+	480	16077553	ydcQ	BSU04860	-	COG1674D	DNA wielding protein	533338	534780	OF150
+	352	16077554	ydcR	BSU04870	-	COG2946L	replication protein	534773	535831	OF150
+	89	16077555	ydcS	BSU04880	-	-	hypothetical protein	536096	536365	OF150
+	88	16077556	ydcT	BSU04890	-	-	hypothetical protein	536404	536670	OF150
+	102	16077557	yddA	BSU04900	-	-	hypothetical protein	536687	536995	OF150
+	354	16077558	yddB	BSU04910	-	-	hypothetical protein	536985	538049	OF150
+	82	16077559	yddC	BSU04920	-	-	hypothetical protein	538061	538309	OF150
+	174	16077560	yddD	BSU04930	-	-	hypothetical protein	538322	538846	OF150
+	797	255767139	yddE	BSU04940	-	COG3451U	hypothetical protein	538836	541229	OF150
+	108	16077562	yddF	BSU04950	-	-	hypothetical protein	541248	541574	OF150
+	815	16077563	yddG	BSU04960	-	COG4372S	hypothetical protein	541578	544025	OF150
+	329	16077564	yddH	BSU04970	-	COG0791M	cell wall hydrolase	544022	545011	OF150
+	168	16077565	yddI	BSU04980	-	-	hypothetical protein	545026	545532	OF150
+	126	16077566	yddJ	BSU04990	-	-	lipoprotein	545595	545975	OF150
-	266	16077567	yddK	BSU05000	-	-	hypothetical protein	546166	546966	OR1
+	391	16077568	rapI	BSU05010	-	-	response regulator aspartate phosphatase	547306	548481	OF151
+	39	16077569	phrI	BSU05020	-	-	secreted regulator of the activity of phosphatase RapI	548438	548557	OF151
+	313	16077570	yddM	BSU05030	-	-	helicase	548710	549651	OF151
-	339	16077571	yddN	BSU05040	-	COG2141C	alkanal monooxygenase	550240	551259	OR1
+	136	16077572	lrpA	BSU05050	-	COG1522K	Lrp/AsnC family transcriptional regulator	551519	551929	OF152
-	149	16077573	lrpB	BSU05060	-	COG1522K	Lrp/AsnC family transcriptional regulator	552052	552501	OR1
+	180	16077574	yddQ	BSU05070	-	COG1335Q	hydrolase	552616	553158	OF153
+	254	16077575	yddR	BSU05080	-	COG2220R	metal-dependent hydrolase	553711	554475	OF154
+	436	16077576	yddS	BSU05090	-	COG2814G	permease	554669	555979	OF155
+	58	255767140	ydzM	BSU05099	-	-	hypothetical protein	556562	556738	OF156
+	228	16077577	yddT	BSU05100	-	-	hypothetical protein	556763	557449	OF156
+	61	255767141	ydzN	BSU05109	-	-	hypothetical protein	557873	558058	OF156
+	197	16077578	ydeA	BSU05110	-	COG0693R	hypothetical protein	558408	559001	OF157
+	66	16077579	cspC	BSU05120	-	COG1278K	cold-shock protein	559264	559464	OF158
-	153	16077580	ydeB	BSU05130	-	COG1329K	transcriptional regulator	560151	560612	OR1
-	78	16077581	ydzE	BSU05140	-	COG5006R	permease	561180	561416	OR1
-	291	16077582	ydeC	BSU05150	-	COG2207K	AraC family transcriptional regulator	561514	562389	OR1
